Art_ID,Viz_Num,Graph_Type,Points,Lines,Bar_Col,Box,Hist_Dens,Tiles,Geo_Map,X_Axis,Y_Axis,Color_Fill,Size,Shape,Alpha,Interactive,Motion,Scroll,Perc_Num,Task1,Task2
41,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,,
42,1,,,,,,,,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,,,,,,,,
42,3,,,,,,,,,,,,,,,,,,,,
42,4,,,,,,,,,,,,,,,,,,,,
42,5,,,,,,,,,,,,,,,,,,,,
42,6,,,,,,,,,,,,,,,,,,,,
42,7,,,,,,,,,,,,,,,,,,,,
42,8,,,,,,,,,,,,,,,,,,,,
42,9,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
42,10,7,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
43,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,,
43,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,,
44,1,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
44,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
45,1,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
46,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
46,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
46,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
47,1,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
47,2,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
47,3,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
48,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,2,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,3,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,4,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,6,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,7,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,8,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,9,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,10,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,11,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,12,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,13,5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,14,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,15,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
48,16,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,
49,1,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
49,2,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
49,3,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
49,4,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
49,5,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
